Industrial Risk,Management Risk,Financial Flexibility,Credibility,Competitiveness,Operating Risk,Class
N,N,A,A,A,N,1
A,A,A,A,A,A,1
P,P,P,P,P,P,1
N,N,P,P,P,N,1
A,A,P,P,P,A,1
P,P,A,P,P,P,1
P,P,P,A,A,P,1
P,P,A,P,A,P,1
P,P,A,A,P,P,1
P,P,P,P,A,P,1
P,P,P,A,P,P,1
N,N,A,P,P,N,1
N,N,P,A,A,N,1
N,N,A,P,A,N,1
N,N,A,P,A,N,1
N,N,A,A,P,N,1
N,N,P,P,A,N,1
N,N,P,A,P,N,1
A,A,A,P,P,A,1
A,A,P,A,A,A,1
A,A,A,P,A,A,1
A,A,A,A,P,A,1
A,A,P,P,A,A,1
A,A,P,A,P,A,1
P,N,A,A,A,P,1
N,P,A,A,A,N,1
P,N,A,A,A,N,1
P,N,P,P,P,P,1
N,P,P,P,P,N,1
P,N,P,P,P,N,1
N,N,A,P,P,P,1
P,N,P,A,A,P,1
N,P,A,P,A,P,1
N,P,A,A,P,N,1
P,N,P,P,A,N,1
N,P,P,A,P,A,1
A,N,A,P,P,A,1
A,P,P,A,A,A,1
A,A,A,P,A,P,1
A,A,A,A,P,N,1
N,A,P,P,P,N,1
A,N,P,A,P,N,1
A,P,P,A,P,N,1
N,N,P,A,P,P,1
N,N,P,P,P,P,1
P,A,P,P,P,N,1
A,P,P,P,P,N,1
A,N,N,A,P,P,1
A,P,P,A,P,P,1
P,A,P,A,P,N,1
A,N,A,A,P,P,1
A,N,A,A,P,N,1
A,N,A,A,P,A,1
A,A,N,P,P,A,1
A,A,N,P,P,P,1
A,P,P,P,P,P,1
A,P,A,A,A,P,1
N,P,N,P,P,A,1
N,N,P,P,P,A,1
A,A,A,P,P,A,1
A,A,A,P,P,P,1
P,A,A,P,P,P,1
A,N,N,P,P,A,1
P,N,N,P,P,A,1
A,A,N,P,P,P,1
P,A,P,N,P,N,1
P,A,N,A,P,N,1
P,P,P,A,P,N,1
