Название,КОПУК,Адрес,"Число предметов основного фонда на конец года, единиц","Число предметов научно-вспомогательного фонда на конец года, единиц","Число музейных предметов, внесенных в электронный каталог музея, единиц","Число выставок – всего, единиц (сумма гр.5,6,7)","Число посещений – всего, тыс.чел. (сумма гр.4,7)","Численность работников - всего, человек","Число строений - всего, единиц"
"Гос.археологический музей-зап.""Костенки""",114019,"396355 Воронежская обл., Хохольский р-н, с.Костенки, ул.Солнечная",41492,6285,41492,10,24.3,18,2
Амгинск.муз.ист.гражданск.войны в Якутии,128613,"678600 Респ.Саха(Якутия), Амгинский р-н, с.Амга, ул.Партизанская, 1",3149,335,1000,25,7.7,8,2
Восточно-Крымский историко-культурный музей-заповедник,142362,"298300 Республика Крым, г.Керчь, ул.Свердлова, 7",206591,47031,56288,48,175.2,167,200
"Музей ""Древние курганы Салбыкской степи""",137735,"655100 Респ.Хакасия, Усть-Абаканский р-н, с.Московское, ул.Советская, 30",20,7,0,8,30.9,7,5
Саратовский этнографический музей,122015,"410600 г.Саратов, ул.Ульяновская, 26",0,0,0,9,17,5,1
Ямало-Ненецкий окр. муз.-выст.комплекс,123520,"629008 Ямало-Ненецкий а.о., г.Салехард, ул.Чубынина, 38",68166,56442,124608,124,33.2,129,5
Болгарский гос.ист.-архит.музей-запов.,127254,"422840 Респ.Татарстан, Спасский р-н, г.Болгар, ул.Назаровых, 67",108909,8201,88987,29,472,180,52
Кушнаренковский ист.-краеведческий музей,138206,"452230 Респ.Башкортостан, с.Кушнаренково, ул.Октябрьская, 60",6063,379,0,13,7.2,3,1
Кежемский ист.-этн.музей им.Ю.Кулаковой,111720,"663491 Красноярский край, Кежемский р-н, г.Кодинск, ул.Гидростроителей, 12",12349,1368,909,27,5.5,5,1
Зеленогорский музейно-выставочный центр,140827,"663690 Красноярский край, г.Зеленогорск, ул.Набережная, 44",21124,24221,3982,78,17,34,1
Дом-музей 25-й Чапаевской дивизии,124487,"450516 Респ.Башкортостан, Уфимский р-н, с.Красный Яр, ул.Чапаева, 26",3279,1417,0,13,11.6,1,1
Балашовский краеведческий музей,122053,"412309 Саратовская обл., г.Балашов, парк им.Куйбышева",37574,15743,8140,68,30.6,32,2
"Х-Мансийский музей геологии,нефти,газа",129264,"628011 г.Ханты-Мансийск, ул.Чехова, 9",17460,18335,34195,60,38.9,51,1
Музей П.П.Семенова-Тян-Шанского,134972,"391786 Рязанская обл., Милославский р-н, д.Гремячка",153,74,0,0,2.3,8,1
Кумылженский ист.-краеведческий музей,126088,"403402 Волгоградская обл.,ст-ца Кумылженская,ул.Мира,9",2465,168,1705,9,6.1,3,1
Чаплыгинский краеведческий музей,118339,"399900 Липецкая обл., г.Чаплыгин, ул.К.Маркса, 43",6755,7751,819,46,16.5,8,1
Казачинский музейно-выставочный центр,130952,"663100 Красноярский край, с.Казачинское, ул.Советская, 99а",550,230,550,55,3.4,8,1
"Центр изуч.истории,культуры Демянск.р-на",136200,"175310 Новгородская обл., п.Демянск, ул.Черняховского, 22",1132,3015,710,9,4,5,1
Пожарский краеведческий музей,131550,"692001 Приморский край, Пожарский р-н, п.Лучегорск, 2 мкр., 1",3999,1630,0,18,7.8,4,1
Судогодский краеведческий музей,140206,"601352 Владимирская обл., г.Судогда, ул.Ленина, 65",1070,1335,527,27,3.8,4,0
Киренский историко-краеведческий музей,114837,"666703 Иркутская обл., г.Киренск, ул.Советская, 18",8449,7475,3411,36,2.6,3,1
Михайловский исторический музей,121900,"391710 Рязанская обл., г.Михайлов, ул.Маршала Голикова, 6а",8866,1939,420,40,6.8,12,1
Гос.научно-иссл.музей архит-ры им.Щусева,134597,"119019 г.Москва, ул.Воздвиженка, 5/25",754013,91017,218916,17,45.4,102,5
Андреапольский краеведческий музей,134493,"172800 Тверская обл., г.Андреаполь, ул.Кленовая, 9",2030,3170,0,7,2.7,4,1
Тамбовская обл.картинная галерея,122960,"392000 г.Тамбов, ул.Советская, 97",5410,1821,2600,53,70,35,1
Нижне-Казанищенский краеведческий музей,140013,"368205 Респ.Дагестан, Буйнакский р-н, с.Нижнее Казанище",1223,160,0,3,5.9,4,1
Кардымовский ист.-краеведческий музей,122674,"215850 Смоленская обл., п.Кардымово, ул.Красноармейская, 10",3006,2692,0,28,5.9,4,1
Нехаевский районный краеведческий музей,140808,"403171 Волгоградская обл., ст.Нехаевская, ул.Победы, 4",1815,1426,1815,18,2.4,4,1
Байкитский филиал Эвенк.краев.музея,133787,"648360 Красноярский край, Эвенкийский а.о., с.Байкит, ул.Увачана, 29",0,0,0,17,1.1,5,1
Гос.музей Л.Н.Толстого,118931,"119034 г.Москва, ул.Пречистенка, 11/8",360770,35129,3610,20,63.1,133,13
Кикнурский краеведческий музей,116226,"612300 Кировская обл., п.Кикнур, ул.Красноармейская, 7а",6730,9261,0,17,6.2,3,1
"Мем.музей ""Разночинный Петербург""",117708,"191180 г.Санкт-Петербург, Б.Казачий пер., 7",36406,14413,50248,46,47.3,29,4
"Историко-археологический музей-заповедник ""Калос Лимен""",142146,"296400 Республика Крым, п.Черноморское, ул.Революции, 8",8565,3660,40,31,9.9,20,1
Лебедянский краеведческий музей,118325,"399610 Липецкая обл., г.Лебедянь, ул.Мира, 11",8399,3669,949,27,17.4,10,1
Гос.музей обороны Москвы,119084,"119602 г.Москва, Олимпийская деревня, Мичуринский проспект, 3",36563,24976,58818,17,79.3,37,1
Ипатовский краеведческий музей,112117,"356630 Ставропольский край, г.Ипатово, ул.Ленинградская, 57",15181,1717,8675,23,16.1,8,1
Мем. дом-музей Н.М.Пржевальского,122744,"216270 Смоленская обл., Демидовский р-н, п.Пржевальское, ул.Советская, 49",6959,2612,0,3,4.8,11,3
Историко-краеведческий музей г.Протвино,131090,"142280 Московская обл., г.Протвино, ул.Ленина, 9 (1 секция)",2724,9772,0,3,2.5,5,1
"Гос.музей-зап.С.Есенина, Константиново",121883,"391103 Рязанская обл., Рыбновский р-н, с.Константиново",13630,15779,17632,32,331.8,146,21
Медвежьегорский краеведческий музей,125916,"186350 Респ.Карелия, г.Медвежьегорск, ул.Дзержинского, 22",10184,6002,25,19,6.7,7,1
"Гум.центр ""Преодоление"" им.Островского",118927,"125009 г.Москва, ул.Тверская, 14",19132,15943,27818,21,28.7,33,1
ВМО музыкальной культуры им.М.И.Глинки,110215,"125047 г.Москва, ул.Фадеева, 4",812218,18512,463332,45,121,164,11
Таймырский краеведческий музей,111612,"647000 Красноярский край, Таймырский а.о., г.Дудинка, ул.Советская, 30",35089,52382,36453,50,22.7,70,2
Куркинский районный краеведческий музей,131512,"301940 Тульская обл., п.Куркино, ул.Октябрьская, 41а",1691,72,0,15,1.4,3,0
Яковлевский краеведческий музей,131546,"692361 Приморский край, с.Яковлевка, ул.Советская, 42",3270,1200,0,9,1.1,2,1
Воткинский музей истории и культуры,127644,"427430 Удмуртская Респ., г.Воткинск, ул.Кирова, 5",14335,1580,0,73,30.9,17,1
Тисульский историко-краеведческий музей,133113,"652210 Кемеровская обл., п.Тисуль, ул.Ленина, 78",4300,3118,0,26,5.4,7,1
Чаинская картинная галерея,124129,"636400 Томская обл., Чаинский р-н, с.Подгорное, ул.Советская, 21",507,169,0,18,5.1,4,1
Дом Н.В.Гоголя-мем.музей и научная б-ка,141656,"119019 г.Москва, Никитский бульвар, 7а",3480,1107,4575,30,46.2,0,2
"Кемеровский музей-зап.""Красная Горка""",115844,"650044 г.Кемерово, ул.Красная Горка, 17",20513,5106,16867,39,75.1,33,1
Музей истории села Муртыш-Тамак,137472,"423358 Республика Татарстан, Сармановский р-н, с.Муртыш-Тамак",1594,212,0,1,1,1,1
Музейно-выст.центр Красноарм.р-на Волгр.,131832,"400082 г.Волгоград, ул.50 Октября, 17",6213,0,0,30,8.4,17,1
Музей Октябрьского р-на г.Новосибирска,141266,"630102 г.Новосибирск, ул.Кирова, 80",1895,3743,67,4,1.8,9,1
"Московский гос.музей ""Дом Бурганова""",131993,"119019 г.Москва, Б.Афанасьевский пер., 15, стр.9",646,179,646,24,21.5,16,3
